id,item_id,date,quantity,cost (CLP)_x,delivery_date,lead_time,description,description_2,group_description,unit_sale_price (CLP),cost (CLP)_y,storage_cost (CLP),stock,size_m3,cost_per_purchase
14953,1319,2023-02-06,1,29637.0,2023-02-24,18,zd cali dos air-leash,paseo,accesorios,37900.0,29637.0,79.0,1.0,0.001,1200.0
14996,1694,2023-02-06,2,93148.0,2023-02-25,19,pack hamster animal care n°2,hogar-transporte,accesorios,67340.0,46574.0,164.0,0.0,0.004,600.0
15030,363,2023-02-06,1,18982.0,2023-02-24,18,daily stuff transportadora route 2,hogar-transporte,accesorios,25990.0,18982.0,54.0,3.0,0.001,500.0
15123,357,2023-02-06,2,34312.0,2023-02-24,18,dreamwell cama donut gris-blanca,hogar-transporte,accesorios,24990.0,17156.0,52.0,0.0,0.001,700.0
15435,497,2023-03-06,2,39284.0,2023-03-28,22,ampolleta repti glo 5.0 tropical13 w,enriquecimiento ambiental,accesorios,26990.0,19642.0,57.0,0.0,0.001,650.0
15464,1492,2023-03-06,1,16092.0,2023-03-27,21,jg air wand con juguete,juguetes,accesorios,24260.0,16092.0,51.0,0.0,0.001,600.0
15520,1763,2023-03-06,1,43083.0,2023-03-29,23,habitrail twist kit,hogar-transporte,accesorios,53990.0,43083.0,114.0,0.0,0.001,500.0
15547,242,2023-03-06,1,31858.0,2023-03-31,25,coastal k9 explorer arnes acolchado zafiro l,paseo,accesorios,39990.0,31858.0,98.0,1.0,0.004,1900.0
15649,219,2023-03-06,1,28262.0,2023-03-24,18,light blue glam paw (my family),placas identificacion,accesorios,36060.0,28262.0,89.0,1.0,0.004,1150.0
15943,1694,2023-04-03,1,46574.0,2023-04-25,22,pack hamster animal care n°2,hogar-transporte,accesorios,67340.0,46574.0,164.0,0.0,0.004,600.0
15968,1057,2023-04-03,1,28052.0,2023-04-22,19,dreamwell cama rectangular gris/blanco,camas,accesorios,39990.0,28052.0,84.0,0.0,0.001,850.0
16000,1763,2023-04-03,1,43083.0,2023-04-21,18,habitrail twist kit,hogar-transporte,accesorios,53990.0,43083.0,114.0,0.0,0.001,500.0
16033,242,2023-04-03,1,31858.0,2023-04-24,21,coastal k9 explorer arnes acolchado zafiro l,paseo,accesorios,39990.0,31858.0,98.0,1.0,0.004,1900.0
16038,281,2023-04-03,1,9204.0,2023-04-22,19,pure comfort blanco 8.2 lt,higiene,accesorios,13990.0,9204.0,29.0,1.0,0.001,500.0
