item_id,description,description_2,group_description,date,quantity,unit_sale_price (CLP),total (CLP),client_id
1185,proplan adulto 7+active mind pollo pouch 100 gr,humedo,alimento,2022-12-04,1,2200.0,2200.0,1325.0
1217,brit care gf senior & light salmon 3 kg,senior,alimento,2022-05-14,1,23990.0,23990.0,865.0
113,nath cat adulto esterilizado sabor pollo y arroz,adultos,alimento,2022-05-14,1,27990.0,27990.0,2636.0
966,bravery lamb adult large/medium b. 4 kg,adultos,alimento,2022-12-14,1,22900.0,22900.0,1880.0
1801,bravery lomo de atún y zanahoria,adultos,alimento,2022-07-31,1,2990.0,2990.0,4635.0
1848,juguete limpieza dental ball,juguetes,accesorio,2022-03-16,3,6990.0,20970.0,204.0
1257,laguna cat collar,paseo,accesorios,2022-05-31,1,4900.42,4900.42,2846.0
73,pro plan cat urinary 7,,,2022-08-31,1,40900.0,40900.0,1334.0
1789,salvaje adulto con pollo 15 kg,adultos,alimento,2022-01-31,1,31990.0,31990.0,3612.0
1809,desparasitante bravecto para gatos,antiparasitarios,medicamento,2022-10-14,1,29990.0,29990.0,5081.0
584,nutrience gr.free cat indoor 2,,,2022-06-22,1,31790.0,31790.0,4174.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2022-05-23,1,24990.0,24990.0,
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2022-11-28,1,62990.0,62990.0,
1828,kong extreme dental con cuerda,juguetes,accesorio,2022-04-13,1,24990.0,24990.0,2970.0
1824,doguivit adulto,suplementos,medicamento,2022-05-15,3,7990.0,23970.0,237.0
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2022-02-01,2,62990.0,125980.0,3687.0
165,pro plan adult medium breed 3kg ar,adultos,alimento,2022-02-05,1,28480.0,28480.0,5188.0
73,pro plan cat urinary 7,,,2022-02-26,1,40900.0,40900.0,759.0
1789,salvaje adulto con pollo 15 kg,adultos,alimento,2022-02-24,1,31990.0,31990.0,3479.0
1850,bravery alimento seco natural 7kg,adultos,alimento,2022-01-22,1,44990.0,44990.0,3481.0
1788,royal canin adulto mini adult 7,,,2022-01-04,1,42990.0,42990.0,4772.0
1801,bravery lomo de atún y zanahoria,adultos,alimento,2022-04-30,1,2990.0,2990.0,3813.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2022-06-24,1,24990.0,24990.0,
1650,brit care dog show champion salmon 12 kg,adultos,alimento,2022-01-23,1,63990.0,63990.0,4556.0
1841,parka premium perro con chiporro,ropa,accesorio,2022-12-27,1,31990.0,31990.0,2253.0
1827,hueso masticable con textura,juguetes,accesorio,2022-05-16,1,17990.0,17990.0,4109.0
1792,royal canin alimento húmedo perro adulto,humedo,alimento,2022-07-12,1,8990.0,8990.0,98.0
1801,bravery lomo de atún y zanahoria,adultos,alimento,2022-07-31,1,2990.0,2990.0,2862.0
1846,arnes y correa anti-tirones,ropa,accesorio,2022-02-25,1,18990.0,18990.0,3602.0
648,monge mini adult chicken de 3 kg,adultos,alimento,2022-02-24,1,25990.0,25990.0,3571.0
73,pro plan cat urinary 7,,,2022-09-12,1,40900.0,40900.0,3241.0
1820,simparica antiparasitario 80 mg,antiparasitarios,medicamento,2022-05-24,1,15990.0,15990.0,265.0
1785,dogxtreme pupy pollo y arroz,adultos,alimento,2022-06-30,1,24990.0,24990.0,3918.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2022-04-10,4,24990.0,99960.0,
1789,salvaje adulto con pollo 15 kg,adultos,alimento,2022-12-14,1,31990.0,31990.0,1131.0
561,wanpy soft duck jerky stripos,snack,alimento,2022-12-12,1,4990.0,4990.0,3717.0
1842,chaqueta chiporro verde ,ropa,accesorio,2022-12-18,1,16990.0,16990.0,2488.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2022-03-06,1,24990.0,24990.0,
1824,doguivit adulto,suplementos,medicamento,2022-06-29,4,7990.0,31960.0,2665.0
1817,puzzle tornado nivel 2,juguetes,accesorio,2022-05-15,1,24990.0,24990.0,
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2022-02-14,1,62990.0,62990.0,1168.0
1855,botella de paseo 1 un,hogar-transporte,accesorio,2022-11-19,1,4990.0,4990.0,2461.0
1832,alfombrilla de entrenamiento de cesped,higiene,accesorio,2022-01-20,2,49990.0,99980.0,4704.0
1822,superpet perro adulto,suplementos,medicamento,2022-09-09,1,6990.0,6990.0,1282.0
1823,siguimarina,suplementos,medicamento,2022-02-26,2,20990.0,41980.0,5105.0
1863,bebedero/comedero para ave,adultos,alimento,2022-12-31,1,4550.0,4550.0,3792.0
1854,churu premio cremoso natural para perro,adultos,alimento,2022-06-02,1,3990.0,3990.0,2019.0
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2022-12-23,1,62990.0,62990.0,
1801,bravery lomo de atún y zanahoria,adultos,alimento,2022-01-31,1,2990.0,2990.0,4757.0
429,little jacs snack,snack,alimento,2022-08-13,1,5990.0,5990.0,2522.0
1817,puzzle tornado nivel 2,juguetes,accesorio,2022-12-18,1,24990.0,24990.0,
916,eukanuba adulto medium 13.6 kg,adultos,alimento,2022-04-28,2,67930.0,135860.0,917.0
1813,caña con pompones,juguetes,accesorio,2022-12-14,1,3990.0,3990.0,1702.0
1797,little jacs snack,snack,alimento,2022-05-31,1,5990.0,5990.0,3939.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2022-11-27,1,56990.0,56990.0,4616.0
534,belcando búfalo de agua 400 gr,humedo,alimento,2022-02-18,3,5590.0,16770.0,4200.0
1788,royal canin adulto mini adult 7,,,2022-12-12,1,42990.0,42990.0,
1845,capa impermeable azul,ropa,accesorio,2022-01-10,1,22990.0,22990.0,430.0
1857,transportadora rígida para perro chico,hogar-transporte,accesorio,2022-11-27,2,44990.0,89980.0,2218.0
1791,belcando búfalo de agua 400 gr,humedo,alimento,2022-09-30,1,5590.0,5590.0,2330.0
1819,simparica antiparasitario 40 mg,antiparasitarios,medicamento,2022-02-27,2,10990.0,21980.0,1939.0
1831,squeaky bounce ball large,juguetes,accesorio,2022-09-15,1,25990.0,25990.0,2447.0
1851,orijen alimento natural seco para gato 5kg,adultos,alimento,2022-06-30,1,68990.0,68990.0,1961.0
1849,royal alimento seco gato 7.5 kg,adultos,alimento,2022-12-13,1,54990.0,54990.0,3920.0
933,bravery salmon puppy large/medium breed 4 kg,cachorros,alimento,2022-10-06,2,26990.0,53980.0,2870.0
1795,wanpy soft duck jerky stripos,snack,alimento,2022-03-30,1,4990.0,4990.0,4947.0
1247,satiety feline pouch 85 gr,humedo,alimento,2022-01-20,1,1900.0,1900.0,3328.0
1417,brit care cat kitten (crazy) 2 kg,cachorros,alimento,2022-10-21,1,15900.0,15900.0,4130.0
1827,hueso masticable con textura,juguetes,accesorio,2022-01-27,1,17990.0,17990.0,1578.0
9,pro plan gatos adulto pollo pouch 85 gr,humedo,alimento,2022-08-25,2,2330.0,4660.0,607.0
1788,royal canin adulto mini adult 7,,,2022-04-17,1,42990.0,42990.0,
1846,arnes y correa anti-tirones,ropa,accesorio,2022-07-02,1,18990.0,18990.0,232.0
1800,bravery chicken adult cat,adultos,alimento,2022-01-16,1,35990.0,35990.0,2434.0
1854,churu premio cremoso natural para perro,adultos,alimento,2022-04-30,1,3990.0,3990.0,223.0
1799,proplan adulto cat alimento para gato,adultos,alimento,2022-04-03,1,44990.0,44990.0,2635.0
1557,brit care cat kitten tuna fillets 70grs,humedo,alimento,2022-04-01,1,1900.0,1900.0,4532.0
623,proplan cat kitten opt 7.5kg,cachorros,alimento,2022-09-06,1,38900.0,38900.0,4445.0
1771,nutrience orig cat adult 2,,,2022-10-29,1,20290.0,20290.0,953.0
