item_id,description,description_2,group_description,date,quantity,unit_sale_price (CLP),total (CLP),client_id
1831,squeaky bounce ball large,juguetes,accesorio,2020-07-22,1,25990.0,25990.0,424.0
281,pure comfort blanco 8.2 lt,higiene,accesorios,2020-11-30,1,13990.0,13990.0,2000.0
1854,churu premio cremoso natural para perro,adultos,alimento,2020-03-30,2,3990.0,7980.0,2601.0
1847,juguete limpieza dental doble,juguetes,accesorio,2020-10-24,2,8990.0,17980.0,2155.0
1816,zeedof arnés ajustable morado,paseo,accesorio,2020-12-12,2,27990.0,55980.0,4717.0
1845,capa impermeable azul,ropa,accesorio,2020-09-16,1,22990.0,22990.0,1711.0
1308,brit care adulto large salmon & potato 12 kg,adultos,alimento,2020-08-28,1,62990.0,62990.0,3778.0
1854,churu premio cremoso natural para perro,adultos,alimento,2020-12-18,2,3990.0,7980.0,4261.0
212,royal canin renal canine 1.5 kg,adultos,alimento,2020-04-08,1,17780.0,17780.0,2066.0
1021,zeedog maze adjustable air mesh harness small,paseo,accesorios,2020-12-31,1,19300.0,19300.0,2962.0
6,capa arnè talla5 cata pets,ropa,accesorios,2020-09-30,1,17290.0,17290.0,1287.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2020-10-27,2,56990.0,113980.0,57.0
1818,puzzle twister nivel 3,juguetes,accesorio,2020-11-07,1,35990.0,35990.0,499.0
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2020-09-04,2,62990.0,125980.0,1656.0
342,labyes tears,ocular,medicamentos,2020-04-30,1,17990.0,17990.0,1372.0
1799,proplan adulto cat alimento para gato,adultos,alimento,2020-08-04,1,44990.0,44990.0,3794.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2020-02-17,2,24990.0,49980.0,1716.0
1792,royal canin alimento húmedo perro adulto,humedo,alimento,2020-03-11,2,8990.0,17980.0,1701.0
353,bravery lamb mini adult small breed 2 kg,adultos,alimento,2020-08-23,1,17990.0,17990.0,2257.0
1797,little jacs snack,snack,alimento,2020-12-28,1,5990.0,5990.0,403.0
768,lw transportadora peq. animales salmon/g,hogar-transporte,accesorios,2020-07-31,1,23490.0,23490.0,3918.0
1863,bebedero/comedero para ave,adultos,alimento,2020-12-31,1,4550.0,4550.0,3499.0
1793,bravery atún y vegetales alimento húmedo,humedo,alimento,2020-02-26,1,1990.0,1990.0,3892.0
1788,royal canin adulto mini adult 7,,,2020-09-15,2,42990.0,85980.0,740.0
1818,puzzle twister nivel 3,juguetes,accesorio,2020-10-03,1,35990.0,35990.0,335.0
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2020-03-31,1,62990.0,62990.0,1961.0
534,belcando búfalo de agua 400 gr,humedo,alimento,2020-02-26,1,5590.0,5590.0,1606.0
1850,bravery alimento seco natural 7kg,adultos,alimento,2020-10-30,1,44990.0,44990.0,3378.0
1797,little jacs snack,snack,alimento,2020-04-30,1,5990.0,5990.0,3938.0
1831,squeaky bounce ball large,juguetes,accesorio,2020-10-15,1,25990.0,25990.0,4810.0
1785,dogxtreme pupy pollo y arroz,adultos,alimento,2020-03-31,1,24990.0,24990.0,2962.0
1845,capa impermeable azul,ropa,accesorio,2020-08-22,1,22990.0,22990.0,4172.0
1809,desparasitante bravecto para gatos,antiparasitarios,medicamento,2020-06-15,1,29990.0,29990.0,868.0
583,pawise mat de enfriamiento l 90x50 cm,enriquecimiento ambiental,accesorios,2020-04-30,1,29990.0,29990.0,1726.0
1850,bravery alimento seco natural 7kg,adultos,alimento,2020-12-31,1,44990.0,44990.0,2800.0
1812,kong wobbler cat small,juguetes,accesorio,2020-04-01,1,18990.0,18990.0,993.0
1789,salvaje adulto con pollo 15 kg,adultos,alimento,2020-08-09,3,31990.0,95970.0,3754.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2020-01-31,1,56990.0,56990.0,4635.0
1678,royal can. urinary canine 10 kg.,medicados,alimento,2020-11-09,1,93370.0,93370.0,583.0
1293,pro plan adulto carne pouch 100 gr,humedo,alimento,2020-10-13,2,2530.0,5060.0,1138.0
1847,juguete limpieza dental doble,juguetes,accesorio,2020-03-17,1,8990.0,8990.0,2492.0
1802,zeecat phantom collar,paseo,accesorio,2020-12-06,1,4990.0,4990.0,1746.0
343,artriofin 88 mg. x 10 comp.,analgesico,medicamentos,2020-05-31,1,18060.0,18060.0,1096.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2020-08-31,1,56990.0,56990.0,4757.0
1800,bravery chicken adult cat,adultos,alimento,2020-09-25,1,35990.0,35990.0,2162.0
721,pack conejo animal care,hogar-transporte,accesorios,2020-09-30,1,73760.0,73760.0,2800.0
1827,hueso masticable con textura,juguetes,accesorio,2020-07-13,1,17990.0,17990.0,4109.0
1650,brit care dog show champion salmon 12 kg,adultos,alimento,2020-08-11,1,63990.0,63990.0,1103.0
1795,wanpy soft duck jerky stripos,snack,alimento,2020-02-29,1,4990.0,4990.0,410.0
1788,royal canin adulto mini adult 7,,,2020-07-20,2,42990.0,85980.0,4748.0
1852,pro plan alimento seco para cachorro razas grandes 15 kg,cachorro,alimento,2020-09-08,1,76990.0,76990.0,2465.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2020-12-31,1,56990.0,56990.0,5195.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2020-02-24,3,56990.0,170970.0,
