item_id,description,description_2,group_description,date,quantity,unit_sale_price (CLP),total (CLP),client_id
113,nath cat adulto esterilizado sabor pollo y arroz,adultos,alimento,2024-01-30,1,27990.0,27990.0,3524.0
1217,brit care gf senior & light salmon 3 kg,senior,alimento,2024-02-16,1,23990.0,23990.0,3975.0
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2024-02-16,2,62990.0,125980.0,594.0
1179,bravery chicken adult cat 2 kg,adultos,alimento,2024-02-02,1,16990.0,16990.0,620.0
1818,puzzle twister nivel 3,juguetes,accesorio,2024-01-08,1,35990.0,35990.0,4760.0
114,dingo dental stick huesitos ,snack,alimento,2024-03-03,3,11990.0,35970.0,2848.0
1005,bravery chicken adult large/medium breeds 12 kg,adultos,alimento,2024-01-27,1,54990.0,54990.0,3655.0
1795,wanpy soft duck jerky stripos,snack,alimento,2024-01-31,1,4990.0,4990.0,1372.0
1403,brit care cat grain-free sterilized sensitive 7 kg,adultos,alimento,2024-02-11,1,55990.0,55990.0,3717.0
740,royal canin fhn indoor 7+ 1,,,2024-01-07,2,20510.0,41020.0,2984.0
1788,royal canin adulto mini adult 7,,,2024-01-19,1,42990.0,42990.0,3880.0
246,bravery iberian pork adult large/medium breeds 12 kg,adultos,alimento,2024-01-24,3,56990.0,170970.0,3354.0
1811,superpet gato omega,suplementos,medicamento,2024-02-13,1,7990.0,7990.0,1524.0
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2024-01-15,1,62990.0,62990.0,5058.0
257,brit care cat grain-free senior weight control 7 kg,adultos,alimento,2024-01-29,1,55990.0,55990.0,1276.0
1860,small bird diet 1 kg,adultos,alimento,2024-01-31,1,16990.0,16990.0,3875.0
1860,small bird diet 1 kg,adultos,alimento,2024-02-29,1,16990.0,16990.0,2761.0
1791,belcando búfalo de agua 400 gr,humedo,alimento,2024-03-04,1,5590.0,5590.0,4123.0
1529,bravery salmon adult cat sterilized 7 kg,adultos,alimento,2024-01-23,1,49990.0,49990.0,4779.0
1810,catnip spray hierba gatera,comportamiento,medicamento,2024-02-25,1,8990.0,8990.0,1830.0
1832,alfombrilla de entrenamiento de cesped,higiene,accesorio,2024-01-13,2,49990.0,99980.0,4704.0
1850,bravery alimento seco natural 7kg,adultos,alimento,2024-02-03,1,44990.0,44990.0,1475.0
1800,bravery chicken adult cat,adultos,alimento,2024-02-28,1,35990.0,35990.0,3793.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2024-02-23,1,24990.0,24990.0,4953.0
1851,orijen alimento natural seco para gato 5kg,adultos,alimento,2024-01-25,1,68990.0,68990.0,468.0
1179,bravery chicken adult cat 2 kg,adultos,alimento,2024-02-28,1,16990.0,16990.0,3891.0
1830,dispensador small,juguetes,accesorio,2024-01-23,1,6990.0,6990.0,4574.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2024-03-01,1,24990.0,24990.0,3507.0
685,zd skull 2.0 h-harness large,paseo,accesorios,2024-01-31,1,19900.0,19900.0,2846.0
1827,hueso masticable con textura,juguetes,accesorio,2024-01-16,1,17990.0,17990.0,1560.0
1812,kong wobbler cat small,juguetes,accesorio,2024-01-29,1,18990.0,18990.0,3838.0
1813,caña con pompones,juguetes,accesorio,2024-01-05,1,3990.0,3990.0,2573.0
1832,alfombrilla de entrenamiento de cesped,higiene,accesorio,2024-02-06,1,49990.0,49990.0,3656.0
