group_description,description,total (CLP)
alimento,pro plan alimento seco para adulto razas medianas 15 kg,522817000.0
accesorio,puzzle twister nivel 3,215472130.0
medicamento,desparasitante bravecto para gatos,48763740.0
medicamentos,gel otico plus x 11.5 grs.,4819150.0
accesorios,pack conejo animal care,4425600.0
